學名,商品名,正常劑量,CCr 30-50,CCr 10-30,CCr <10,Hemodialysis
Penicillin G,K-Cillin,0.5-4mu Q4H,0.5-4mu Q8H,0.5-4mu Q8H,0.5-4 mU Q12H,0.5-4 mu Q12H(give one of the dialysis day doses AD)
Oxacillin,Oxacillin,0.25-2g Q4-6H,No adjustment,No adjustment,No adjustment,No adjustment
Ampicillin,Ampolin,1-2g Q4-6H,1-2g Q6-8H,1-2g Q8-12H,1-2g Q12H,1-2g Q12H(give one of the dialysis day doses AD)
Amoxicillin (PO),Amolin; Supercillin,500mg Q8H/875mg Q12H,500mg Q8H/875mg Q12H,250-500 mg Q12H,250-500 mg Q24H,250-500 mg Q24H(+ extra dose AD)
Ampicillin+Sulbactam,Unasyn; Subacillin,1.5-3g Q6H,1.5-3g Q8H,1.5-3g Q12H,1.5-3g QD,1.5-3g QD(give AD on dialysis day)
Amoxicillin+Clavulanate (IV),Augmentin,1.2g Q8H,1.2g Q8H,1.2g stat then 0.6g Q12H,1.2g stat->0.6g QD,1.2g stat then 0.6g QD(+ extra dose AD)
Amoxicillin+Clavulanate (PO),Curam; Moxiclav; Soonmelt,875mg/125mg q12h,875mg/125mg q12h,250-500 mg(amox) q12h,250-500mg(amox) q24h, 250-500mg (amox) q24h (+ extra dose AD)
Piperacillin+Tazobactam,Tazocin; Tapimycin; Pisutam,3.375 Q6H/4.5g Q6H,(>40)3.375 Q6H/4.5g Q6H,(20-40)2.25g Q6H/3.375g Q6H,(<20)2.25g Q8H/2.25g Q6H,2.25g Q12H/2.25g Q8H(+ extra 0.75g AD)
Ticarcillin+Clavulanate,Timentin,3.1g Q4-Q6H,2g Q4H,2g Q8H,2g Q12H,2g Q12H; 3g supplement after HD
Cefazolin,Cefa; Kelin,1-2g Q8H,1-2g Q12H,1-2g Q12H,1-2g Q24-48H,1-2g Q24-48H(+ extra 0.5-1g AD)
Cefadroxil(PO),Cefadroxil,1g q12h,1 gm then 500mg q12-24h,1 gm then 500mg q12-24h,1 gm then 500mg q36h,1g then 1g AD
Cephalexin (PO),Panlexin; Sinflex; Paraflex,500mg Q6H,500mg Q12H, 500mg Q12H,250mg Q12H,250 mg Q12H(give one of the dialysis day doses AD)
